rule_hit_id,transaction_id,account_id,customer_id,rule_code,rule_severity,hit_ts,evidence
GEO_INTL_ECOM,,,,,,,
RH-000001,TXN-20260124-000016,ACC-00091217,ACC-00091175,GEO_INTL_ECOM,HIGH,1/12/2026 11:50:55,country=GB; city=London; channel=ECOM
RH-000025,TXN-20260124-000278,ACC-00091142,ACC-00091259,GEO_INTL_ECOM,HIGH,9/29/2025 7:43:02,country=NG; city=Abuja; channel=ECOM
RH-000026,TXN-20260124-000293,ACC-00091164,ACC-00091034,GEO_INTL_ECOM,HIGH,12/16/2025 17:14:59,country=IN; city=Delhi; channel=ECOM
RH-000027,TXN-20260124-000300,ACC-00091120,ACC-00091017,GEO_INTL_ECOM,HIGH,8/15/2025 11:22:44,country=CA; city=Toronto; channel=ECOM
RH-000028,TXN-20260124-000301,ACC-00091030,ACC-00091116,GEO_INTL_ECOM,HIGH,11/26/2025 10:53:57,country=MX; city=Mexico; channel=ECOM
RH-000029,TXN-20260124-000333,ACC-00091193,ACC-00091200,GEO_INTL_ECOM,HIGH,10/31/2025 2:19:19,country=BR; city=Sao Paulo; channel=ECOM
RH-000030,TXN-20260124-000350,ACC-00091079,ACC-00091073,GEO_INTL_ECOM,HIGH,11/27/2025 19:44:22,country=IN; city=Mumbai; channel=ECOM
RH-000031,TXN-20260124-000365,ACC-00091154,ACC-00091061,GEO_INTL_ECOM,HIGH,9/10/2025 2:22:48,country=CA; city=Toronto; channel=ECOM
RH-000032,TXN-20260124-000373,ACC-00091214,ACC-00091018,GEO_INTL_ECOM,HIGH,12/10/2025 8:29:14,country=JP; city=Tokyo; channel=ECOM
RH-000033,TXN-20260124-000378,ACC-00091040,ACC-00091084,GEO_INTL_ECOM,HIGH,12/27/2025 12:41:02,country=NG; city=Lagos; channel=ECOM
RH-000034,TXN-20260124-000379,ACC-00091233,ACC-00091105,GEO_INTL_ECOM,HIGH,1/16/2026 21:18:50,country=JP; city=Tokyo; channel=ECOM
RH-000035,TXN-20260124-000382,ACC-00091190,ACC-00091177,GEO_INTL_ECOM,HIGH,12/3/2025 10:15:00,country=DE; city=Berlin; channel=ECOM
RH-000036,TXN-20260124-000412,ACC-00091198,ACC-00091089,GEO_INTL_ECOM,HIGH,8/16/2025 6:31:30,country=NG; city=Lagos; channel=ECOM
RH-000037,TXN-20260124-000426,ACC-00091229,ACC-00091094,GEO_INTL_ECOM,HIGH,11/29/2025 0:59:58,country=MX; city=Mexico; channel=ECOM
RH-000038,TXN-20260124-000438,ACC-00091198,ACC-00091180,GEO_INTL_ECOM,HIGH,8/5/2025 5:13:04,country=AU; city=Sydney; channel=ECOM
RH-000039,TXN-20260124-000447,ACC-00091003,ACC-00091007,GEO_INTL_ECOM,HIGH,1/5/2026 8:28:40,country=MX; city=Mexico; channel=ECOM
RH-000040,TXN-20260124-000451,ACC-00091156,ACC-00091131,GEO_INTL_ECOM,HIGH,1/14/2026 0:28:17,country=NG; city=Abuja; channel=ECOM
RH-000041,TXN-20260124-000469,ACC-00091049,ACC-00091107,GEO_INTL_ECOM,HIGH,10/14/2025 4:44:13,country=DE; city=Berlin; channel=ECOM
RH-000042,TXN-20260124-000499,ACC-00091240,ACC-00091259,GEO_INTL_ECOM,HIGH,12/26/2025 10:29:22,country=JP; city=Tokyo; channel=ECOM
RH-000043,TXN-20260124-000504,ACC-00091230,ACC-00091100,GEO_INTL_ECOM,HIGH,12/14/2025 5:08:38,country=JP; city=Tokyo; channel=ECOM
RH-000044,TXN-20260124-000522,ACC-00091107,ACC-00091185,GEO_INTL_ECOM,HIGH,9/13/2025 22:06:17,country=MX; city=Mexico; channel=ECOM
RH-000045,TXN-20260124-000536,ACC-00091047,ACC-00091102,GEO_INTL_ECOM,HIGH,12/8/2025 12:33:57,country=AU; city=Sydney; channel=ECOM
RH-000046,TXN-20260124-000560,ACC-00091216,ACC-00091259,GEO_INTL_ECOM,HIGH,7/30/2025 5:03:42,country=NG; city=Abuja; channel=ECOM
RH-000047,TXN-20260124-000573,ACC-00091039,ACC-00091066,GEO_INTL_ECOM,HIGH,1/11/2026 4:52:41,country=FR; city=Paris; channel=ECOM
RH-000048,TXN-20260124-000578,ACC-00091189,ACC-00091028,GEO_INTL_ECOM,HIGH,9/18/2025 11:32:17,country=NG; city=Lagos; channel=ECOM
RH-000049,TXN-20260124-000597,ACC-00091090,ACC-00091194,GEO_INTL_ECOM,HIGH,12/30/2025 10:48:19,country=IN; city=Mumbai; channel=ECOM
RH-000050,TXN-20260124-000611,ACC-00091047,ACC-00091145,GEO_INTL_ECOM,HIGH,12/27/2025 0:04:08,country=BR; city=Sao Paulo; channel=ECOM
RH-000051,TXN-20260124-000614,ACC-00091110,ACC-00091250,GEO_INTL_ECOM,HIGH,8/19/2025 10:45:00,country=NG; city=Abuja; channel=ECOM
RH-000052,TXN-20260124-000665,ACC-00091088,ACC-00091132,GEO_INTL_ECOM,HIGH,12/31/2025 7:18:24,country=AU; city=Sydney; channel=ECOM
RH-000053,TXN-20260124-000669,ACC-00091014,ACC-00091236,GEO_INTL_ECOM,HIGH,8/11/2025 19:28:02,country=MX; city=Mexico; channel=ECOM
RH-000054,TXN-20260124-000680,ACC-00091181,ACC-00091127,GEO_INTL_ECOM,HIGH,1/24/2026 15:36:09,country=FR; city=Paris; channel=ECOM
RH-000055,TXN-20260124-000697,ACC-00091020,ACC-00091025,GEO_INTL_ECOM,HIGH,1/14/2026 21:17:49,country=IN; city=Mumbai; channel=ECOM
RH-000056,TXN-20260124-000700,ACC-00091135,ACC-00091226,GEO_INTL_ECOM,HIGH,10/4/2025 22:54:26,country=CA; city=Vancouver; channel=ECOM
RH-000057,TXN-20260124-000710,ACC-00091145,ACC-00091069,GEO_INTL_ECOM,HIGH,12/27/2025 19:37:56,country=MX; city=Mexico; channel=ECOM
RH-000058,TXN-20260124-000723,ACC-00091112,ACC-00091111,GEO_INTL_ECOM,HIGH,10/27/2025 22:10:18,country=DE; city=Berlin; channel=ECOM
RH-000059,TXN-20260124-000731,ACC-00091118,ACC-00091002,GEO_INTL_ECOM,HIGH,11/19/2025 16:04:47,country=CA; city=Toronto; channel=ECOM
RH-000060,TXN-20260124-000752,ACC-00091020,ACC-00091121,GEO_INTL_ECOM,HIGH,10/31/2025 18:30:01,country=BR; city=Sao Paulo; channel=ECOM
RH-000061,TXN-20260124-000755,ACC-00091022,ACC-00091214,GEO_INTL_ECOM,HIGH,9/2/2025 17:03:55,country=NG; city=Abuja; channel=ECOM
RH-000062,TXN-20260124-000758,ACC-00091237,ACC-00091165,GEO_INTL_ECOM,HIGH,10/15/2025 21:32:15,country=DE; city=Berlin; channel=ECOM
RH-000063,TXN-20260124-000778,ACC-00091195,ACC-00091077,GEO_INTL_ECOM,HIGH,8/14/2025 5:00:31,country=FR; city=Paris; channel=ECOM
RH-000064,TXN-20260124-000780,ACC-00091045,ACC-00091115,GEO_INTL_ECOM,HIGH,12/1/2025 7:52:23,country=IN; city=Delhi; channel=ECOM
RH-000065,TXN-20260124-000788,ACC-00091198,ACC-00091130,GEO_INTL_ECOM,HIGH,9/28/2025 5:28:29,country=JP; city=Tokyo; channel=ECOM
RH-000066,TXN-20260124-000793,ACC-00091006,ACC-00091004,GEO_INTL_ECOM,HIGH,12/28/2025 10:52:06,country=BR; city=Sao Paulo; channel=ECOM
RH-000067,TXN-20260124-000800,ACC-00091121,ACC-00091228,GEO_INTL_ECOM,HIGH,8/17/2025 12:28:07,country=MX; city=Mexico; channel=ECOM
RH-000068,TXN-20260124-000801,ACC-00091022,ACC-00091182,GEO_INTL_ECOM,HIGH,9/9/2025 14:05:16,country=AU; city=Sydney; channel=ECOM
RH-000069,TXN-20260124-000804,ACC-00091228,ACC-00091144,GEO_INTL_ECOM,HIGH,8/19/2025 14:32:38,country=IN; city=Delhi; channel=ECOM
RH-000070,TXN-20260124-000815,ACC-00091239,ACC-00091167,GEO_INTL_ECOM,HIGH,12/26/2025 22:03:42,country=NG; city=Lagos; channel=ECOM
RH-000071,TXN-20260124-000817,ACC-00091261,ACC-00091215,GEO_INTL_ECOM,HIGH,1/5/2026 6:23:39,country=CA; city=Toronto; channel=ECOM
RH-000072,TXN-20260124-000824,ACC-00091186,ACC-00091209,GEO_INTL_ECOM,HIGH,11/26/2025 13:38:26,country=GB; city=London; channel=ECOM
RH-000073,TXN-20260124-000830,ACC-00091007,ACC-00091214,GEO_INTL_ECOM,HIGH,1/10/2026 6:05:24,country=DE; city=Berlin; channel=ECOM
RH-000074,TXN-20260124-000856,ACC-00091192,ACC-00091243,GEO_INTL_ECOM,HIGH,10/9/2025 11:11:49,country=DE; city=Berlin; channel=ECOM
RH-000075,TXN-20260124-000868,ACC-00091189,ACC-00091136,GEO_INTL_ECOM,HIGH,8/28/2025 22:13:16,country=MX; city=Mexico; channel=ECOM
RH-000076,TXN-20260124-000869,ACC-00091038,ACC-00091121,GEO_INTL_ECOM,HIGH,11/28/2025 23:18:30,country=FR; city=Paris; channel=ECOM
RH-000077,TXN-20260124-000876,ACC-00091171,ACC-00091019,GEO_INTL_ECOM,HIGH,8/30/2025 6:56:46,country=DE; city=Berlin; channel=ECOM
RH-000078,TXN-20260124-000894,ACC-00091164,ACC-00091235,GEO_INTL_ECOM,HIGH,8/11/2025 6:14:57,country=NG; city=Lagos; channel=ECOM
RH-000079,TXN-20260124-000895,ACC-00091094,ACC-00091146,GEO_INTL_ECOM,HIGH,8/9/2025 13:22:54,country=GB; city=Edinburgh; channel=ECOM
RH-000080,TXN-20260124-000903,ACC-00091202,ACC-00091006,GEO_INTL_ECOM,HIGH,1/1/2026 9:09:52,country=BR; city=Sao Paulo; channel=ECOM
RH-000081,TXN-20260124-000924,ACC-00091246,ACC-00091054,GEO_INTL_ECOM,HIGH,9/24/2025 11:22:01,country=IN; city=Mumbai; channel=ECOM
RH-000082,TXN-20260124-000931,ACC-00091227,ACC-00091159,GEO_INTL_ECOM,HIGH,10/30/2025 4:33:04,country=JP; city=Tokyo; channel=ECOM
RH-000083,TXN-20260124-000938,ACC-00091079,ACC-00091199,GEO_INTL_ECOM,HIGH,9/10/2025 10:35:00,country=MX; city=Mexico; channel=ECOM
RH-000084,TXN-20260124-000939,ACC-00091241,ACC-00091024,GEO_INTL_ECOM,HIGH,10/30/2025 5:28:17,country=AU; city=Sydney; channel=ECOM
RH-000085,TXN-20260124-000948,ACC-00091073,ACC-00091059,GEO_INTL_ECOM,HIGH,8/2/2025 22:01:54,country=JP; city=Tokyo; channel=ECOM
RH-000086,TXN-20260124-000952,ACC-00091073,ACC-00091161,GEO_INTL_ECOM,HIGH,10/15/2025 22:16:21,country=FR; city=Paris; channel=ECOM
RH-000087,TXN-20260124-000956,ACC-00091176,ACC-00091040,GEO_INTL_ECOM,HIGH,8/20/2025 19:06:13,country=NG; city=Abuja; channel=ECOM
RH-000088,TXN-20260124-001024,ACC-00091008,ACC-00091054,GEO_INTL_ECOM,HIGH,12/4/2025 16:07:20,country=IN; city=Delhi; channel=ECOM
RH-000089,TXN-20260124-001037,ACC-00091067,ACC-00091029,GEO_INTL_ECOM,HIGH,9/17/2025 18:42:09,country=IN; city=Mumbai; channel=ECOM
RH-000090,TXN-20260124-001041,ACC-00091119,ACC-00091216,GEO_INTL_ECOM,HIGH,8/29/2025 10:05:00,country=MX; city=Mexico; channel=ECOM
RH-000091,TXN-20260124-001045,ACC-00091084,ACC-00091234,GEO_INTL_ECOM,HIGH,12/23/2025 7:26:29,country=GB; city=London; channel=ECOM
RH-000092,TXN-20260124-001068,ACC-00091210,ACC-00091159,GEO_INTL_ECOM,HIGH,1/21/2026 7:21:34,country=GB; city=London; channel=ECOM
RH-000093,TXN-20260124-001072,ACC-00091017,ACC-00091103,GEO_INTL_ECOM,HIGH,9/17/2025 0:55:20,country=NG; city=Lagos; channel=ECOM
RH-000094,TXN-20260124-001077,ACC-00091208,ACC-00091164,GEO_INTL_ECOM,HIGH,9/29/2025 6:03:27,country=MX; city=Mexico; channel=ECOM
RH-000095,TXN-20260124-001085,ACC-00091030,ACC-00091226,GEO_INTL_ECOM,HIGH,11/24/2025 9:25:33,country=DE; city=Berlin; channel=ECOM
RH-000096,TXN-20260124-001089,ACC-00091217,ACC-00091110,GEO_INTL_ECOM,HIGH,12/2/2025 9:06:27,country=AU; city=Sydney; channel=ECOM
RH-000097,TXN-20260124-001093,ACC-00091075,ACC-00091098,GEO_INTL_ECOM,HIGH,10/28/2025 16:09:54,country=BR; city=Sao Paulo; channel=ECOM
RH-000098,TXN-20260124-001101,ACC-00091094,ACC-00091125,GEO_INTL_ECOM,HIGH,11/30/2025 2:40:21,country=DE; city=Berlin; channel=ECOM
RH-000099,TXN-20260124-001116,ACC-00091195,ACC-00091221,GEO_INTL_ECOM,HIGH,11/1/2025 1:47:27,country=NG; city=Lagos; channel=ECOM
RH-000100,TXN-20260124-001142,ACC-00091199,ACC-00091209,GEO_INTL_ECOM,HIGH,8/13/2025 0:06:06,country=IN; city=Mumbai; channel=ECOM
RH-000101,TXN-20260124-001144,ACC-00091232,ACC-00091089,GEO_INTL_ECOM,HIGH,8/27/2025 22:29:46,country=CA; city=Toronto; channel=ECOM
RH-000102,TXN-20260124-001156,ACC-00091142,ACC-00091210,GEO_INTL_ECOM,HIGH,1/22/2026 10:49:00,country=FR; city=Paris; channel=ECOM
RH-000103,TXN-20260124-001157,ACC-00091211,ACC-00091069,GEO_INTL_ECOM,HIGH,11/21/2025 20:59:54,country=NG; city=Lagos; channel=ECOM
RH-000104,TXN-20260124-001167,ACC-00091057,ACC-00091053,GEO_INTL_ECOM,HIGH,7/27/2025 8:31:27,country=AU; city=Sydney; channel=ECOM
RH-000105,TXN-20260124-001180,ACC-00091178,ACC-00091180,GEO_INTL_ECOM,HIGH,9/5/2025 16:03:13,country=NG; city=Abuja; channel=ECOM
RH-000106,TXN-20260124-001202,ACC-00091240,ACC-00091008,GEO_INTL_ECOM,HIGH,8/20/2025 11:44:15,country=BR; city=Sao Paulo; channel=ECOM
RH-000107,TXN-20260124-001203,ACC-00091225,ACC-00091030,GEO_INTL_ECOM,HIGH,11/25/2025 18:37:02,country=FR; city=Paris; channel=ECOM
RH-000108,TXN-20260124-001213,ACC-00091120,ACC-00091050,GEO_INTL_ECOM,HIGH,10/3/2025 1:55:52,country=CA; city=Toronto; channel=ECOM
RH-000109,TXN-20260124-001214,ACC-00091107,ACC-00091227,GEO_INTL_ECOM,HIGH,11/24/2025 10:26:00,country=IN; city=Delhi; channel=ECOM
RH-000110,TXN-20260124-001220,ACC-00091259,ACC-00091168,GEO_INTL_ECOM,HIGH,8/1/2025 13:37:39,country=FR; city=Paris; channel=ECOM
RH-000111,TXN-20260124-001222,ACC-00091125,ACC-00091261,GEO_INTL_ECOM,HIGH,9/24/2025 22:12:40,country=MX; city=Mexico; channel=ECOM
RH-000112,TXN-20260124-001232,ACC-00091061,ACC-00091058,GEO_INTL_ECOM,HIGH,1/1/2026 4:07:30,country=DE; city=Berlin; channel=ECOM
RH-000113,TXN-20260124-001239,ACC-00091095,ACC-00091046,GEO_INTL_ECOM,HIGH,1/7/2026 15:58:38,country=JP; city=Tokyo; channel=ECOM
RH-000114,TXN-20260124-001240,ACC-00091210,ACC-00091114,GEO_INTL_ECOM,HIGH,10/30/2025 15:50:26,country=JP; city=Tokyo; channel=ECOM
RH-000115,TXN-20260124-001262,ACC-00091076,ACC-00091056,GEO_INTL_ECOM,HIGH,11/7/2025 16:11:38,country=AU; city=Sydney; channel=ECOM
RH-000116,TXN-20260124-001263,ACC-00091018,ACC-00091102,GEO_INTL_ECOM,HIGH,1/15/2026 7:42:15,country=NG; city=Lagos; channel=ECOM
RH-000117,TXN-20260124-001266,ACC-00091057,ACC-00091078,GEO_INTL_ECOM,HIGH,10/3/2025 10:59:00,country=CA; city=Toronto; channel=ECOM
RH-000118,TXN-20260124-001271,ACC-00091023,ACC-00091141,GEO_INTL_ECOM,HIGH,8/14/2025 13:20:05,country=MX; city=Mexico; channel=ECOM
RH-000119,TXN-20260124-001273,ACC-00091237,ACC-00091065,GEO_INTL_ECOM,HIGH,11/4/2025 10:07:00,country=BR; city=Sao Paulo; channel=ECOM
RH-000120,TXN-20260124-001275,ACC-00091018,ACC-00091167,GEO_INTL_ECOM,HIGH,12/11/2025 12:04:01,country=IN; city=Delhi; channel=ECOM
RH-000121,TXN-20260124-001281,ACC-00091031,ACC-00091081,GEO_INTL_ECOM,HIGH,10/10/2025 12:07:36,country=AU; city=Sydney; channel=ECOM
RH-000122,TXN-20260124-001291,ACC-00091123,ACC-00091095,GEO_INTL_ECOM,HIGH,8/16/2025 5:34:26,country=NG; city=Abuja; channel=ECOM
RH-000123,TXN-20260124-001296,ACC-00091168,ACC-00091218,GEO_INTL_ECOM,HIGH,1/6/2026 21:38:01,country=NG; city=Abuja; channel=ECOM
RH-000124,TXN-20260124-001326,ACC-00091222,ACC-00091237,GEO_INTL_ECOM,HIGH,9/1/2025 6:35:29,country=DE; city=Berlin; channel=ECOM
RH-000125,TXN-20260124-001335,ACC-00091192,ACC-00091199,GEO_INTL_ECOM,HIGH,10/24/2025 22:02:03,country=BR; city=Sao Paulo; channel=ECOM
RH-000126,TXN-20260124-001337,ACC-00091100,ACC-00091198,GEO_INTL_ECOM,HIGH,9/16/2025 18:12:48,country=IN; city=Mumbai; channel=ECOM
RH-000127,TXN-20260124-001338,ACC-00091194,ACC-00091065,GEO_INTL_ECOM,HIGH,10/13/2025 10:15:50,country=DE; city=Berlin; channel=ECOM
RH-000128,TXN-20260124-001350,ACC-00091165,ACC-00091034,GEO_INTL_ECOM,HIGH,1/15/2026 8:19:56,country=MX; city=Mexico; channel=ECOM
RH-000129,TXN-20260124-001351,ACC-00091010,ACC-00091036,GEO_INTL_ECOM,HIGH,1/6/2026 8:55:42,country=BR; city=Sao Paulo; channel=ECOM
RH-000130,TXN-20260124-001352,ACC-00091015,ACC-00091239,GEO_INTL_ECOM,HIGH,12/12/2025 21:31:50,country=AU; city=Sydney; channel=ECOM
RH-000131,TXN-20260124-001363,ACC-00091102,ACC-00091245,GEO_INTL_ECOM,HIGH,1/12/2026 18:01:29,country=IN; city=Mumbai; channel=ECOM
RH-000132,TXN-20260124-001365,ACC-00091216,ACC-00091098,GEO_INTL_ECOM,HIGH,10/18/2025 22:19:54,country=CA; city=Toronto; channel=ECOM
RH-000133,TXN-20260124-001368,ACC-00091113,ACC-00091040,GEO_INTL_ECOM,HIGH,8/2/2025 4:47:23,country=DE; city=Berlin; channel=ECOM
RH-000134,TXN-20260124-001406,ACC-00091054,ACC-00091041,GEO_INTL_ECOM,HIGH,1/9/2026 4:35:55,country=AU; city=Sydney; channel=ECOM
RH-000135,TXN-20260124-001411,ACC-00091186,ACC-00091225,GEO_INTL_ECOM,HIGH,9/11/2025 21:55:46,country=FR; city=Paris; channel=ECOM
RH-000136,TXN-20260124-001417,ACC-00091181,ACC-00091178,GEO_INTL_ECOM,HIGH,12/22/2025 23:30:53,country=DE; city=Berlin; channel=ECOM
RH-000137,TXN-20260124-001430,ACC-00091241,ACC-00091051,GEO_INTL_ECOM,HIGH,10/16/2025 1:35:12,country=NG; city=Lagos; channel=ECOM
RH-000138,TXN-20260124-001434,ACC-00091023,ACC-00091033,GEO_INTL_ECOM,HIGH,12/8/2025 12:42:16,country=FR; city=Paris; channel=ECOM
RH-000139,TXN-20260124-001458,ACC-00091207,ACC-00091176,GEO_INTL_ECOM,HIGH,8/11/2025 22:57:27,country=IN; city=Delhi; channel=ECOM
RH-000140,TXN-20260124-001465,ACC-00091126,ACC-00091017,GEO_INTL_ECOM,HIGH,8/8/2025 19:06:31,country=JP; city=Tokyo; channel=ECOM
RH-000141,TXN-20260124-001476,ACC-00091242,ACC-00091133,GEO_INTL_ECOM,HIGH,1/19/2026 21:12:32,country=CA; city=Vancouver; channel=ECOM
RH-000142,TXN-20260124-001490,ACC-00091042,ACC-00091011,GEO_INTL_ECOM,HIGH,11/22/2025 22:46:12,country=CA; city=Toronto; channel=ECOM
RH-000143,TXN-20260124-001493,ACC-00091244,ACC-00091244,GEO_INTL_ECOM,HIGH,8/26/2025 9:18:03,country=DE; city=Berlin; channel=ECOM
RH-000144,TXN-20260124-001496,ACC-00091079,ACC-00091198,GEO_INTL_ECOM,HIGH,1/12/2026 20:15:30,country=IN; city=Delhi; channel=ECOM
RH-000145,TXN-20260124-001502,ACC-00091099,ACC-00091046,GEO_INTL_ECOM,HIGH,9/18/2025 13:33:42,country=BR; city=Sao Paulo; channel=ECOM
RH-000146,TXN-20260124-001510,ACC-00091152,ACC-00091075,GEO_INTL_ECOM,HIGH,9/14/2025 1:30:29,country=GB; city=London; channel=ECOM
RH-000147,TXN-20260124-001523,ACC-00091096,ACC-00091074,GEO_INTL_ECOM,HIGH,11/12/2025 8:17:29,country=JP; city=Tokyo; channel=ECOM
RH-000148,TXN-20260124-001528,ACC-00091100,ACC-00091102,GEO_INTL_ECOM,HIGH,10/23/2025 16:16:51,country=DE; city=Berlin; channel=ECOM
RH-000149,TXN-20260124-001533,ACC-00091050,ACC-00091251,GEO_INTL_ECOM,HIGH,12/25/2025 17:21:10,country=NG; city=Lagos; channel=ECOM
RH-000150,TXN-20260124-001534,ACC-00091077,ACC-00091085,GEO_INTL_ECOM,HIGH,12/21/2025 4:10:56,country=IN; city=Mumbai; channel=ECOM
RH-000151,TXN-20260124-001539,ACC-00091228,ACC-00091182,GEO_INTL_ECOM,HIGH,7/30/2025 18:58:46,country=FR; city=Paris; channel=ECOM
RH-000152,TXN-20260124-001581,ACC-00091170,ACC-00091170,GEO_INTL_ECOM,HIGH,11/18/2025 16:41:28,country=GB; city=Edinburgh; channel=ECOM
RH-000153,TXN-20260124-001589,ACC-00091140,ACC-00091045,GEO_INTL_ECOM,HIGH,8/9/2025 10:53:00,country=DE; city=Berlin; channel=ECOM
RH-000154,TXN-20260124-001598,ACC-00091010,ACC-00091030,GEO_INTL_ECOM,HIGH,1/15/2026 16:31:49,country=JP; city=Tokyo; channel=ECOM
RH-000155,TXN-20260124-001605,ACC-00091073,ACC-00091199,GEO_INTL_ECOM,HIGH,1/24/2026 10:43:00,country=CA; city=Toronto; channel=ECOM
RH-000156,TXN-20260124-001615,ACC-00091110,ACC-00091177,GEO_INTL_ECOM,HIGH,10/3/2025 1:53:05,country=MX; city=Mexico; channel=ECOM
RH-000157,TXN-20260124-001628,ACC-00091036,ACC-00091180,GEO_INTL_ECOM,HIGH,12/15/2025 13:57:53,country=NG; city=Abuja; channel=ECOM
RH-000158,TXN-20260124-001631,ACC-00091069,ACC-00091053,GEO_INTL_ECOM,HIGH,9/29/2025 14:17:14,country=IN; city=Delhi; channel=ECOM
RH-000159,TXN-20260124-001633,ACC-00091200,ACC-00091029,GEO_INTL_ECOM,HIGH,11/28/2025 4:30:54,country=MX; city=Mexico; channel=ECOM
RH-000160,TXN-20260124-001647,ACC-00091194,ACC-00091163,GEO_INTL_ECOM,HIGH,1/11/2026 16:59:01,country=GB; city=London; channel=ECOM
RH-000161,TXN-20260124-001649,ACC-00091260,ACC-00091107,GEO_INTL_ECOM,HIGH,11/6/2025 18:54:19,country=AU; city=Sydney; channel=ECOM
RH-000162,TXN-20260124-001658,ACC-00091122,ACC-00091167,GEO_INTL_ECOM,HIGH,1/13/2026 9:22:12,country=JP; city=Tokyo; channel=ECOM
RH-000163,TXN-20260124-001698,ACC-00091097,ACC-00091029,GEO_INTL_ECOM,HIGH,8/12/2025 10:51:00,country=MX; city=Mexico; channel=ECOM
