session_id,customer_id,device_id,login_ts,ip_address,geo_country,geo_region,geo_city,mfa_result,login_result
SES-20260124-000028,CUST-000781,DEV-10043,2025-09-12 01:48:39,119.75.214.23,BR,SP,Sao Paulo,FAILED,SUCCESS
SES-20260124-000029,CUST-000888,DEV-10106,2025-09-09 04:13:37,74.142.13.168,US,CA,Los Angeles,PASSED,SUCCESS
SES-20260124-000030,CUST-000884,DEV-10051,2025-10-28 13:00:31,162.74.92.48,US,WA,Seattle,FAILED,FAILED
SES-20260124-000031,CUST-000816,DEV-10300,2025-11-09 15:49:20,89.255.112.187,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000032,CUST-000896,DEV-10034,2026-01-03 04:07:30,105.138.92.66,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000033,CUST-000843,DEV-10255,2025-12-24 09:38:20,158.17.22.47,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000034,CUST-000878,DEV-10265,2025-07-30 02:32:37,163.109.121.99,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000035,CUST-000827,DEV-10252,2025-11-12 06:10:51,95.132.199.215,NG,LA,Lagos,PASSED,SUCCESS
SES-20260124-000036,CUST-000912,DEV-10310,2025-08-31 11:03:16,89.238.30.223,US,CO,Denver,FAILED,FAILED
SES-20260124-000037,CUST-000790,DEV-10288,2025-09-23 00:34:14,106.213.220.124,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000038,CUST-000868,DEV-10289,2025-08-22 05:49:16,30.200.235.233,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000039,CUST-000978,DEV-10038,2025-12-11 17:20:11,35.137.175.221,GB,SCT,Edinburgh,PASSED,SUCCESS
SES-20260124-000040,CUST-000930,DEV-10143,2025-10-10 17:38:54,24.141.143.98,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000041,CUST-000945,DEV-10013,2025-11-12 15:07:05,108.236.65.99,US,CA,Los Angeles,PASSED,SUCCESS
SES-20260124-000042,CUST-000963,DEV-10156,2025-10-09 04:27:38,206.16.115.60,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000043,CUST-000915,DEV-10056,2025-11-04 13:30:34,117.67.0.159,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000044,CUST-000883,DEV-10313,2025-09-09 22:24:53,250.160.158.46,US,NY,New York,FAILED,FAILED
SES-20260124-000045,CUST-000947,DEV-10116,2025-08-29 02:12:32,20.136.198.244,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000046,CUST-000782,DEV-10005,2025-09-26 19:09:58,215.235.180.193,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000047,CUST-000961,DEV-10064,2025-09-24 01:14:31,219.50.139.19,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000048,CUST-000850,DEV-10180,2025-08-13 17:42:45,248.140.251.227,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000049,CUST-000922,DEV-10301,2026-01-20 10:10:56,48.163.89.14,US,TX,San Antonio,PASSED,SUCCESS
SES-20260124-000050,CUST-000966,DEV-10003,2025-09-24 12:31:54,226.156.187.147,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000051,CUST-000944,DEV-10147,2026-01-06 15:28:37,75.59.119.58,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000052,CUST-000916,DEV-10123,2025-08-26 07:23:07,34.203.123.72,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000053,CUST-000890,DEV-10049,2025-10-09 05:10:43,118.42.232.47,US,TX,San Antonio,PASSED,SUCCESS
SES-20260124-000054,CUST-000952,DEV-10058,2025-11-14 20:17:48,12.211.221.40,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000055,CUST-000869,DEV-10075,2025-07-25 09:56:50,152.133.163.123,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000056,CUST-000786,DEV-10057,2026-01-20 20:25:47,203.72.30.65,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000057,CUST-000831,DEV-10051,2025-12-16 05:02:09,226.45.46.254,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000058,CUST-000877,DEV-10263,2026-01-11 04:50:21,236.35.128.64,US,WA,Seattle,FAILED,FAILED
SES-20260124-000059,CUST-000834,DEV-10141,2025-07-27 18:20:35,176.155.125.238,US,TX,San Antonio,FAILED,FAILED
SES-20260124-000060,CUST-000901,DEV-10211,2025-12-18 11:46:26,34.139.41.102,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000061,CUST-000952,DEV-10072,2025-08-02 15:15:31,195.147.58.253,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000062,CUST-000865,DEV-10312,2025-10-06 09:11:56,170.157.47.182,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000063,CUST-000920,DEV-10196,2025-10-27 19:33:29,29.85.222.35,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000064,CUST-000952,DEV-10045,2025-11-05 10:17:22,27.95.227.161,US,NY,New York,PASSED,SUCCESS
SES-20260124-000065,CUST-000971,DEV-10052,2025-11-26 16:25:54,166.214.58.254,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000066,CUST-000836,DEV-10159,2025-08-02 22:12:23,149.11.153.155,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000067,CUST-000793,DEV-10117,2025-08-11 21:49:52,230.5.95.218,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000068,CUST-000914,DEV-10061,2025-11-20 08:46:56,94.81.112.109,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000069,CUST-000875,DEV-10262,2025-08-17 19:30:15,21.63.252.192,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000070,CUST-000836,DEV-10275,2025-10-24 18:22:43,219.90.233.44,US,NY,New York,PASSED,SUCCESS
SES-20260124-000071,CUST-000854,DEV-10135,2025-07-25 18:06:58,205.99.169.47,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000072,CUST-000896,DEV-10112,2025-08-10 07:02:56,18.149.68.35,US,NY,New York,PASSED,SUCCESS
SES-20260124-000073,CUST-000797,DEV-10268,2025-09-14 01:50:04,21.45.175.77,US,TX,Houston,FAILED,FAILED
SES-20260124-000074,CUST-000814,DEV-10190,2025-09-26 04:38:49,146.159.246.30,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000075,CUST-000974,DEV-10149,2025-08-10 11:01:49,237.203.71.193,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000076,CUST-000807,DEV-10258,2025-12-13 17:20:39,125.210.181.223,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000077,CUST-000863,DEV-10130,2025-10-17 02:54:19,129.219.99.131,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000078,CUST-000911,DEV-10087,2025-12-02 03:03:24,195.70.217.183,DE,BE,Berlin,PASSED,SUCCESS
SES-20260124-000079,CUST-000876,DEV-10266,2025-10-30 08:16:48,244.52.114.70,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000080,CUST-000897,DEV-10199,2026-01-17 21:32:57,152.85.46.121,US,TX,Austin,PASSED,SUCCESS
SES-20260124-000081,CUST-000857,DEV-10277,2025-10-31 23:49:07,70.51.193.89,US,TX,Houston,PASSED,SUCCESS
SES-20260124-000082,CUST-000919,DEV-10090,2025-10-22 05:11:55,143.233.88.73,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000083,CUST-000805,DEV-10017,2026-01-03 03:35:00,70.113.89.26,US,CA,San Francisco,FAILED,FAILED
SES-20260124-000084,CUST-000956,DEV-10037,2025-12-29 19:45:59,242.38.121.16,IN,MH,Mumbai,PASSED,SUCCESS
SES-20260124-000085,CUST-000864,DEV-10084,2025-11-05 07:28:36,245.25.134.87,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000086,CUST-000947,DEV-10002,2025-12-06 22:33:40,19.65.177.116,US,CA,Los Angeles,FAILED,SUCCESS
SES-20260124-000087,CUST-000909,DEV-10277,2026-01-08 03:00:12,206.56.105.63,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000088,CUST-000906,DEV-10025,2025-10-23 01:55:56,134.129.169.180,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000089,CUST-000843,DEV-10309,2025-10-04 03:34:26,15.204.54.190,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000090,CUST-000809,DEV-10198,2025-12-10 23:52:52,44.202.69.199,US,NY,New York,PASSED,SUCCESS
SES-20260124-000091,CUST-000908,DEV-10023,2025-12-09 01:01:39,185.106.15.87,US,TX,Houston,PASSED,SUCCESS
SES-20260124-000092,CUST-000910,DEV-10287,2025-11-09 09:28:23,248.54.35.151,US,WA,Seattle,FAILED,FAILED
SES-20260124-000093,CUST-000947,DEV-10151,2026-01-19 17:21:32,197.187.142.238,US,TX,San Antonio,PASSED,SUCCESS
SES-20260124-000094,CUST-000887,DEV-10142,2025-09-29 20:58:50,135.130.153.51,FR,IDF,Paris,FAILED,FAILED
SES-20260124-000095,CUST-000957,DEV-10013,2025-12-18 04:41:26,53.37.122.11,FR,IDF,Paris,PASSED,SUCCESS
SES-20260124-000096,CUST-000901,DEV-10283,2025-12-28 07:09:44,233.112.62.93,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000097,CUST-000961,DEV-10121,2025-11-12 07:53:40,47.108.52.124,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000098,CUST-000940,DEV-10219,2025-12-19 22:01:21,46.81.62.207,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000099,CUST-000926,DEV-10095,2025-07-30 02:39:37,226.23.215.114,US,NY,New York,PASSED,SUCCESS
SES-20260124-000100,CUST-000937,DEV-10312,2025-08-28 06:07:17,140.94.6.2,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000101,CUST-000863,DEV-10095,2025-12-08 06:28:01,152.226.32.121,US,NY,New York,PASSED,SUCCESS
SES-20260124-000102,CUST-000873,DEV-10132,2026-01-01 00:01:57,44.149.8.121,US,CA,Los Angeles,PASSED,SUCCESS
SES-20260124-000103,CUST-000839,DEV-10234,2026-01-21 02:24:08,96.152.139.224,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000104,CUST-000980,DEV-10136,2025-09-20 18:44:13,15.62.152.199,US,TX,San Antonio,PASSED,SUCCESS
SES-20260124-000105,CUST-000820,DEV-10060,2026-01-11 22:13:38,29.9.73.118,NG,LA,Lagos,PASSED,SUCCESS
SES-20260124-000106,CUST-000820,DEV-10285,2025-11-28 11:48:28,48.81.51.198,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000107,CUST-000843,DEV-10195,2025-08-13 16:15:18,87.8.239.183,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000108,CUST-000901,DEV-10089,2025-09-26 11:58:23,194.87.161.203,NG,FC,Abuja,PASSED,SUCCESS
SES-20260124-000109,CUST-000935,DEV-10052,2025-08-27 04:07:57,202.163.10.188,US,TX,Austin,PASSED,SUCCESS
SES-20260124-000110,CUST-000911,DEV-10205,2025-11-26 03:13:28,29.138.213.199,,,,PASSED,SUCCESS
SES-20260124-000111,CUST-000811,DEV-10087,2026-01-16 04:30:04,40.243.252.162,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000112,CUST-000946,DEV-10082,2025-12-08 19:31:57,18.76.111.160,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000113,CUST-000925,DEV-10112,2025-10-22 08:02:10,190.70.193.46,US,GA,Atlanta,FAILED,FAILED
SES-20260124-000114,CUST-000919,DEV-10062,2025-08-25 08:54:56,80.57.58.39,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000115,CUST-000842,DEV-10005,2025-11-04 15:23:59,87.122.132.208,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000116,CUST-000966,DEV-10022,2025-09-11 10:23:57,142.95.42.137,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000117,CUST-000882,DEV-10247,2025-12-29 04:06:41,241.207.51.113,US,TX,San Antonio,PASSED,SUCCESS
SES-20260124-000118,CUST-000829,DEV-10049,2025-09-11 04:15:53,52.116.145.26,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000119,CUST-000827,DEV-10038,2025-12-08 01:20:54,27.126.94.149,US,TX,Dallas,PASSED,SUCCESS
SES-20260124-000120,CUST-000816,DEV-10130,2025-09-12 23:11:25,126.13.165.196,AU,NSW,Sydney,FAILED,FAILED
SES-20260124-000121,CUST-000890,DEV-10182,2025-10-02 23:24:23,192.230.41.187,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000122,CUST-000884,DEV-10002,2025-09-08 12:43:19,73.43.131.162,US,CA,Los Angeles,FAILED,FAILED
SES-20260124-000123,CUST-000977,DEV-10108,2025-11-15 02:49:21,227.23.16.17,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000124,CUST-000866,DEV-10165,2025-07-27 20:49:41,105.158.78.102,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000125,CUST-000814,DEV-10019,2026-01-02 06:46:59,144.5.199.223,US,NY,New York,PASSED,SUCCESS
SES-20260124-000126,CUST-000946,DEV-10017,2025-09-23 12:38:50,150.27.26.172,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000127,CUST-000858,DEV-10197,2026-01-18 08:28:33,52.197.121.64,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000128,CUST-000904,DEV-10268,2025-09-20 17:22:14,157.9.182.85,US,TX,Houston,PASSED,SUCCESS
SES-20260124-000129,CUST-000946,DEV-10105,2025-11-08 01:57:12,187.124.37.10,DE,BE,Berlin,FAILED,FAILED
SES-20260124-000130,CUST-000817,DEV-10022,2026-01-11 18:21:49,167.84.143.127,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000131,CUST-000799,DEV-10239,2025-12-30 11:06:18,240.244.244.3,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000132,CUST-000938,DEV-10032,2025-08-23 22:43:34,127.206.60.206,US,AZ,Phoenix,FAILED,FAILED
SES-20260124-000133,CUST-000911,DEV-10313,2025-09-30 02:46:04,17.4.164.184,US,NY,New York,PASSED,SUCCESS
SES-20260124-000134,CUST-000893,DEV-10162,2025-09-01 16:38:17,176.246.111.255,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000135,CUST-000919,DEV-10050,2025-08-21 20:46:27,156.55.127.159,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000136,CUST-000806,DEV-10067,2025-12-15 18:39:48,44.38.84.8,US,NY,New York,FAILED,FAILED
SES-20260124-000137,CUST-000970,DEV-10238,2025-08-03 08:53:00,248.85.122.88,US,TX,Austin,PASSED,SUCCESS
SES-20260124-000138,CUST-000977,DEV-10178,2025-09-14 10:29:06,118.130.162.70,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000139,CUST-000918,DEV-10186,2025-08-25 05:38:03,181.210.87.46,US,WA,Seattle,FAILED,SUCCESS
SES-20260124-000140,CUST-000951,DEV-10167,2025-11-08 03:57:05,27.35.230.102,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000141,CUST-000920,DEV-10119,2025-09-04 22:30:02,250.56.6.48,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000142,CUST-000905,DEV-10303,2025-10-30 21:22:04,77.96.200.24,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000143,CUST-000923,DEV-10262,2025-09-20 17:07:20,203.5.148.137,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000144,CUST-000850,DEV-10067,2025-10-31 17:23:02,67.48.81.191,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000145,CUST-000903,DEV-10023,2025-08-20 11:25:43,92.172.88.233,US,CO,Denver,FAILED,FAILED
SES-20260124-000146,CUST-000934,DEV-10054,2025-12-03 13:47:22,209.253.122.158,GB,ENG,London,PASSED,SUCCESS
SES-20260124-000147,CUST-000936,DEV-10031,2026-01-04 17:44:18,105.156.68.36,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000148,CUST-000827,DEV-10043,2025-11-03 18:19:41,17.115.134.62,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000149,CUST-000870,DEV-10125,2025-08-24 05:20:24,201.134.120.92,DE,BE,Berlin,PASSED,SUCCESS
SES-20260124-000150,CUST-000918,DEV-10233,2025-08-17 13:12:42,235.19.231.7,DE,BE,Berlin,FAILED,FAILED
SES-20260124-000151,CUST-000924,DEV-10236,2025-12-12 15:09:03,199.68.129.95,US,CA,Los Angeles,PASSED,SUCCESS
SES-20260124-000152,CUST-000825,DEV-10021,2025-08-20 20:53:35,182.158.194.84,US,TX,Dallas,PASSED,SUCCESS
SES-20260124-000153,CUST-000878,DEV-10317,2025-09-04 18:21:57,82.24.236.9,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000154,CUST-000874,DEV-10007,2025-10-28 20:14:55,57.156.71.112,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000155,CUST-000846,DEV-10039,2025-09-18 16:05:52,60.39.6.207,US,CA,San Francisco,PASSED,SUCCESS
SES-20260124-000156,CUST-000795,DEV-10319,2025-08-23 02:34:27,190.153.102.67,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000157,CUST-000860,DEV-10080,2026-01-08 12:45:59,55.97.252.205,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000158,CUST-000893,DEV-10261,2025-08-28 09:29:20,179.219.180.170,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000159,CUST-000942,DEV-10254,2025-08-23 10:19:49,186.73.187.246,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000160,CUST-000859,DEV-10031,2025-12-25 15:56:01,141.156.104.181,US,TX,San Antonio,PASSED,SUCCESS
SES-20260124-000161,CUST-000839,DEV-10013,2025-10-30 08:59:30,111.60.45.68,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000162,CUST-000950,DEV-10169,2025-11-23 07:15:35,123.30.218.77,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000163,CUST-000813,DEV-10233,2025-09-17 21:32:26,132.48.199.250,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000164,CUST-000974,DEV-10047,2025-12-25 19:17:09,56.35.229.245,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000165,CUST-000814,DEV-10075,2025-12-11 15:51:00,111.23.127.105,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000166,CUST-000813,DEV-10065,2025-11-27 05:17:02,13.144.10.172,US,TX,Dallas,PASSED,SUCCESS
SES-20260124-000167,CUST-000856,DEV-10132,2025-12-31 04:14:37,198.74.152.195,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000168,CUST-000961,DEV-10098,2025-12-01 17:30:28,141.80.80.49,US,TX,Austin,PASSED,SUCCESS
SES-20260124-000169,CUST-000861,DEV-10251,2025-09-23 18:06:07,236.178.229.226,US,NY,New York,PASSED,SUCCESS
SES-20260124-000170,CUST-000900,DEV-10207,2025-12-14 01:10:47,161.193.33.16,DE,BE,Berlin,PASSED,SUCCESS
SES-20260124-000171,CUST-000943,DEV-10130,2025-09-23 15:44:41,66.157.106.29,US,CA,Los Angeles,PASSED,SUCCESS
SES-20260124-000172,CUST-000814,DEV-10214,2025-09-05 10:13:16,78.49.185.88,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000173,CUST-000942,DEV-10079,2025-09-16 09:01:30,118.94.125.136,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000174,CUST-000856,DEV-10048,2025-07-28 15:41:19,209.74.213.209,FR,IDF,Paris,NOT_USED,SUCCESS
SES-20260124-000175,CUST-000853,DEV-10162,2025-10-19 04:04:49,36.60.208.67,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000176,CUST-000789,DEV-10145,2025-09-06 05:41:29,101.100.187.12,US,TX,Dallas,PASSED,SUCCESS
SES-20260124-000177,CUST-000865,DEV-10199,2025-09-14 21:30:28,166.66.2.162,US,NY,New York,FAILED,FAILED
SES-20260124-000178,CUST-000915,DEV-10049,2025-10-27 02:05:34,123.25.216.192,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000179,CUST-000854,DEV-10122,2025-11-10 23:42:28,161.251.173.103,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000180,CUST-000900,DEV-10189,2025-09-20 01:06:34,126.165.120.40,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000181,CUST-000921,DEV-10126,2025-10-06 22:05:48,117.39.250.80,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000182,CUST-000900,DEV-10145,2026-01-19 07:05:50,22.222.95.109,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000183,CUST-000800,DEV-10290,2025-11-18 19:35:11,69.243.59.170,US,NY,New York,PASSED,SUCCESS
SES-20260124-000184,CUST-000875,DEV-10028,2026-01-20 18:53:00,192.200.68.88,US,NY,New York,PASSED,SUCCESS
SES-20260124-000185,CUST-000820,DEV-10097,2025-08-08 11:32:19,19.73.35.182,US,GA,Atlanta,FAILED,SUCCESS
SES-20260124-000186,CUST-000882,DEV-10257,2025-07-31 21:53:58,172.38.127.182,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000187,CUST-000962,DEV-10319,2025-10-23 08:54:26,47.62.129.11,US,NY,New York,PASSED,SUCCESS
SES-20260124-000188,CUST-000853,DEV-10263,2025-12-04 11:09:48,160.133.92.76,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000189,CUST-000826,DEV-10094,2025-11-02 00:23:31,142.171.163.78,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000190,CUST-000965,DEV-10098,2025-12-15 23:54:28,59.144.235.52,,,,FAILED,FAILED
SES-20260124-000191,CUST-000963,DEV-10245,2025-08-26 03:00:55,164.130.205.205,US,TX,Austin,PASSED,SUCCESS
SES-20260124-000192,CUST-000949,DEV-10145,2025-11-01 16:15:48,235.191.69.254,NG,FC,Abuja,PASSED,SUCCESS
SES-20260124-000193,CUST-000829,DEV-10174,2025-09-21 23:57:07,170.111.100.252,MX,CDMX,Mexico,PASSED,SUCCESS
SES-20260124-000194,CUST-000889,DEV-10184,2025-12-22 12:29:48,30.174.143.253,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000195,CUST-000782,DEV-10123,2025-09-18 15:06:47,179.190.171.204,US,TX,Dallas,NOT_USED,SUCCESS
SES-20260124-000196,CUST-000920,DEV-10166,2025-09-27 13:27:39,23.161.69.138,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000197,CUST-000928,DEV-10048,2025-09-08 20:20:36,223.185.68.81,US,CO,Denver,FAILED,FAILED
SES-20260124-000198,CUST-000843,DEV-10161,2025-11-22 22:25:36,90.11.135.52,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000199,CUST-000904,DEV-10257,2025-09-22 23:21:14,126.218.212.78,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000200,CUST-000903,DEV-10095,2025-12-24 11:33:56,109.36.121.28,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000201,CUST-000922,DEV-10119,2025-11-19 16:01:37,198.145.107.127,AU,NSW,Sydney,PASSED,SUCCESS
SES-20260124-000202,CUST-000801,DEV-10109,2025-11-27 13:22:21,64.210.242.247,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000203,CUST-000863,DEV-10250,2025-08-18 00:19:19,15.124.160.196,US,TX,Dallas,PASSED,SUCCESS
SES-20260124-000204,CUST-000898,DEV-10212,2025-08-31 18:04:49,235.127.5.120,GB,SCT,Edinburgh,PASSED,SUCCESS
SES-20260124-000205,CUST-000887,DEV-10258,2025-12-30 02:12:38,207.73.114.137,BR,SP,Sao Paulo,NOT_USED,SUCCESS
SES-20260124-000206,CUST-000819,DEV-10320,2025-09-28 13:59:36,46.157.36.28,GB,ENG,London,PASSED,SUCCESS
SES-20260124-000207,CUST-000897,DEV-10128,2025-09-30 04:05:55,195.167.114.4,US,TX,Austin,PASSED,SUCCESS
